Scheme	number of apps	Apps
com.apple.developer.avfoundation.multitasking-camera-access	12	
com.apple.developer.kernel.increased-memory-limit	11	
com.apple.private.canModifyAppLinkPermissions	11	
com.apple.private.assets.accessible-asset-types	11	
com.apple.private.corespotlight.internal	11	
com.apple.managedconfiguration.profiled-access	11	
com.apple.security.exception.files.absolute-path.read-only	11	
com.apple.developer.game-center	11	
com.apple.private.tcc.allow.overridable	10	
com.apple.security.exception.files.home-relative-path.read-only	10	
com.apple.accounts.facebook.defaultaccess	10	
com.apple.CoreRoutine.LocationOfInterest	9	
com.apple.private.avatar.store	9	
com.apple.accounts.appleidauthentication.defaultaccess	9	
com.apple.coreduetd.context	8	
com.apple.locationd.usage_oracle	8	
com.apple.developer.carplay-calling	8	
com.apple.keystore.device	8	
com.apple.coreduetd.people	8	
com.apple.coremedia.allow-protected-content-playback	8	
com.apple.icloud.findmydeviced.access	8	
com.apple.private.hsa-authentication-processing	8	
abs-client	7	
com.apple.excludes-extensions	7	
com.apple.private.security.storage.Photos	7	
com.apple.private.coreservices.canopenactivity	7	
com.apple.private.ind.client	7	
aps-connection-initiate	7	
com.apple.springboard.openurlinbackground	7	
com.apple.security.exception.files.absolute-path.read-write	7	
com.apple.private.rtcreportingd	7	
com.apple.developer.location.push	7	
com.apple.avfoundation.allow-system-wide-context	7	
com.apple.developer.web-browser	7	
adi-client	7	
com.apple.cards.all-access	6	
com.apple.springboard.allowallcallurls	6	
com.apple.private.swc.system-app	6	
com.apple.private.appleaccount.app-hidden-from-icloud-settings	6	
com.apple.developer.carplay-messaging	6	
com.apple.coreaudio.allow-amr-decode	6	
com.apple.private.persona.read	6	
com.apple.security.system-groups	6	
com.apple.developer.contacts.notes	6	
com.apple.springboard.launchapplications	6	
com.apple.private.ids.messaging	6	
com.apple.private.CoreAuthentication.SPI	6	
com.apple.private.bmk.allow	6	
com.apple.QuartzCore.secure-mode	6	
com.apple.mobile.deleted.AllowFreeSpace	6	
com.apple.private.ClassKit.dashboard	5	
com.apple.private.contacts	5	
com.apple.developer.coremedia.allow-alternate-video-decoder-selection	5	
com.apple.private.familycircle	5	
com.apple.companionappd.connect.allow	5	
com.apple.private.healthkit.medicaliddata	5	
com.apple.nano.nanoregistry	5	
com.apple.security.network.client	5	
com.apple.appstored.install-apps	5	
com.apple.private.appstorecomponents	5	
com.apple.SystemConfiguration.SCPreferences-write-access	5	
com.apple.rootless.storage.coreduet_knowledge_store	5	
com.apple.locationd.authorizeapplications	5	
backupd-connection-initiate	5	
com.apple.icloud.fmfd.access	5	
com.apple.springboard.shortcutitems.customimage	5	
com.apple.private.network.socket-delegate	5	
com.apple.private.dprivacyd.allow	5	
com.apple.springboard.appbackgroundstyle	5	
com.apple.private.corespotlight.search.internal	5	
com.apple.frontboardservices.display-layout-monitor	5	
com.apple.bluetooth.system	5	
com.apple.payment.all-access	5	
com.apple.sharing.Client	5	
com.apple.developer.kernel.extended-virtual-addressing	5	
com.apple.private.photoanalysisd.access	5	
com.apple.private.social.facebook.like	5	
com.apple.avfoundation.allows-set-output-device	5	
com.apple.avfoundation.allows-access-to-device-list	5	
com.apple.assistant.settings	4	
com.apple.developer.legacyvoip	4	
com.apple.private.healthkit	4	
com.apple.developer.carplay-charging	4	
com.apple.private.ubiquity-additional-kvstore-identifiers	4	
com.apple.proactive.eventtracker	4	
com.apple.private.communicationsfilter	4	
com.apple.mobilemail.mailservices	4	
com.apple.private.lockdown.finegrained-get	4	
com.apple.developer.homekit.allow-setup-payload	4	
com.apple.developer.contactless-payment-pass-provisioning	4	
com.apple.accounts.idms.fullaccess	4	
com.apple.photos.bourgeoisie	4	
com.apple.CoreRoutine.Application	4	
com.apple.media.ringtones.read-only	4	
com.apple.private.imcore.spi.database-access	4	
com.apple.locationd.prompt_behavior	4	
com.apple.coreidvd.spi	4	
com.apple.asd.client	4	
com.apple.nfcd.hwmanager	4	
com.apple.private.imcore.imremoteurlconnection	4	
com.apple.private.photos.service.multilibrary	4	
com.apple.private.photos.service.internal.cloud	4	
com.apple.multitasking.systemappassertions	4	
com.apple.fileprovider.enumerate	4	
com.apple.private.cloudkit.participant-pii	4	
com.apple.private.appstored	4	
com.apple.features.all-access	4	
com.apple.coremedia.allow-mpeg4streaming	4	
com.apple.assistant.dictation.prerecorded	4	
com.apple.private.cloudkit.systemService	4	
com.apple.private.cloudkit.setEnvironment	4	
com.apple.mkb.usersession.info	4	
com.apple.private.cfnetwork.har-capture-amp	4	
com.apple.springboard.statusbarstyleoverrides	4	
com.apple.launchservices.receivereferrerrurl	4	
com.apple.mobileactivationd.spi	4	
com.apple.security.attestation.access	4	
com.apple.UIKit.vends-view-services	4	
com.apple.coreaudio.register-internal-aus	4	
com.apple.payment.card-on-file	4	
dynamic-codesigning	4	
com.apple.private.mobileinstall.allowedSPI	4	
com.apple.private.tcc.allow-or-regional-prompt	3	
com.apple.springboard.CFUserNotification	3	
com.apple.system.set-alert-tone	3	
com.apple.private.tipsd.discoverability	3	
com.apple.developer.mediasetup	3	
com.apple.private.healthkit.authorization_bypass	3	
com.apple.sos.contacts	3	
com.apple.nano.nanoresourcegrabber	3	
com.apple.private.sleepd	3	
com.apple.private.tcc.manager	3	
com.apple.symptoms.NetworkOfInterest	3	
com.apple.springboard.wallpaperAnimationSuspension	3	
com.apple.private.suggestions.events	3	
com.apple.private.personas.propagate	3	
com.apple.private.MobileContainerManager.otherIdLookup	3	
com.apple.SystemConfiguration.SCDynamicStore-write-access	3	
com.apple.developer.carplay-communication	3	
com.apple.visualvoicemail.client	3	
com.apple.private.contactsui.channel-in-process-override	3	
com.apple.private.screen-time	3	
com.apple.private.persona.write	3	
SBStarkCapable	3	
com.apple.chronoservices	3	
com.apple.developer.carplay-parking	3	
com.apple.private.ids.nearby	3	
com.apple.seserviced.kmlXpcService	3	
com.apple.payment.externalized-context	3	
com.apple.ios.StoreKit.store-page	3	
com.apple.nanosystemsettings	3	
com.apple.peerpayment.all-access	3	
com.apple.asd.allow	3	
com.apple.nfcd.session.se	3	
com.apple.nano.nanoregistry.pairunpairobliterate	3	
com.apple.seld.tsmmanager	3	
com.apple.private.keychain.sysbound	3	
com.apple.NPKCompanionAgent.client	3	
com.apple.coretelephony.Identity.get	3	
com.apple.payment.amp-card-enrollment	3	
com.apple.passes.add-silently	3	
com.apple.PassKit.issuer-provisioning.consumer	3	
com.apple.backboardd.launchapplications	3	
com.apple.mediaanalysisd.client	3	
com.apple.private.allow-explicit-graphics-priority	3	
com.apple.private.photos.allowassetexpunge	3	
com.apple.QuartzCore.global-capture	3	
seatbelt-profiles	3	
com.apple.mediastream.mstreamd-access	3	
com.apple.private.photos.service.internal.library	3	
com.apple.private.clouddocs.can-publish-iwork-document	3	
com.apple.fileprovider.alternate-contents	3	
com.apple.private.clouddocs.sharing.private-interface	3	
com.apple.fileprovider.iwork-collaboration-messaging	3	
com.apple.private.clouddocs.sharing-proxy	3	
useractivity-team-identifier	3	
com.apple.private.iwork.sharing-acceptance	3	
com.apple.watchlist.private	3	
com.apple.private.ndoagent	3	
com.apple.developer.storekit.external-link.account	3	
get-task-allow	3	
com.apple.private.cloudkit.masquerade	3	
com.apple.homekit.private-spi-access	3	
com.apple.fileprovider.acl-write	3	
com.apple.intents.extension.discovery	3	
com.apple.mediaremote.send-commands	3	
com.apple.private.ids.registration-control	3	
com.apple.private.accounts.customaccesssinfo	3	
com.apple.private.ids.registration	3	
previous-application-identifiers	3	
com.apple.private.librarian.can-get-application-info	3	
com.apple.springboard.activateawayviewplugins	3	
com.apple.coreaudio.CanRecordPastData	3	
com.apple.PairingManager.Read	3	
com.apple.mediaremote.set-playback-state	3	
com.apple.application-identifier	3	
com.apple.symptom_analytics.query	3	
com.apple.mobileactivationd.device-identifiers	3	
com.apple.keystore.sik.access	3	
com.apple.security.temporary-exception.mach-lookup.global-name	3	
com.apple.private.mobileinstall.upgrade-enabled	3	
com.apple.private.hid.client.event-monitor	3	
com.apple.private.calendar.allow-suggestions	2	
com.apple.developer.edu-assessment-mode	2	
com.apple.private.homekit	2	
com.apple.private.healthkit.authorization_manager	2	
com.apple.developer.auto-elect-plugin	2	
com.apple.private.assets.change-daemon-config	2	
com.apple.private.healthkit.feature-availability.read-write	2	
com.apple.private.security.storage.Mail	2	
com.apple.private.safari.cloudtabs	2	
com.apple.usermanagerd.persona.create	2	
com.apple.private.email	2	
com.apple.usermanagerd.persona.fetch	2	
com.apple.private.suggestions	2	
com.apple.private.MobileContainerManager.lookup	2	
com.apple.locationd.status	2	
com.apple.usermanagerd.persona.delete	2	
com.apple.private.suggestions.reminders	2	
com.apple.usermanagerd.persona.background	2	
com.apple.aosnotification.aosnotifyd-access	2	
com.apple.messages.supportsattachments	2	
com.apple.developer.storekit.request-data	2	
com.apple.private.security.storage.CallHistory	2	
com.apple.private.dmd.policy	2	
CARCapableApp	2	
com.apple.notificationcenter.widgetcontrollerhascontent	2	
DataProtectionClass	2	
com.apple.developer.pushkit.unrestricted-voip.ptt	2	
com.apple.private.LocalAuthentication.Storage	2	
com.apple.private.usernotifications.bundle-identifiers	2	
com.apple.nfcd.session.peerpayment	2	
com.apple.apple-pay-trust.all-access	2	
com.apple.nfcd.trust	2	
com.apple.nfcd.session.ecommerce	2	
com.apple.nfcd.session.fieldOperations	2	
com.apple.springboard.hardware-button-service.event-consumption	2	
com.apple.chrono.invalidate-timelines	2	
fairplay	2	
com.apple.private.assetsd.nebulad.access	2	
com.apple.private.cloudphotod.access	2	
com.apple.proactive.PersonalizationPortrait.NamedEntity.readWrite	2	
com.apple.private.xpc.domain-extension	2	
com.apple.private.DistributedEvaluation.RecordAccess-com.apple.acg.autoloops	2	
com.apple.private.logging.diagnostic	2	
com.apple.developer.extension-host.photo-editing	2	
com.apple.private.photos.cpanalytics.allow	2	
checklessPersistentURLTranslation	2	
com.apple.private.photos.allowmemorymutation	2	
com.apple.private.photos.service.internal.resource	2	
com.apple.developer.carplay-quick-ordering	2	
com.apple.proactive.PersonalizationPortrait.Topic.readOnly	2	
com.apple.private.cloudkit.customAccounts	2	
com.apple.mobile.keybagd.UserManager.logout	2	
com.apple.appstored.private	2	
com.apple.ibooks.BLService.private	2	
com.apple.appstored.xpc.updates	2	
com.apple.siri.VoiceShortcuts.xpc	2	
com.apple.private.ids.messaging.urgent-priority	2	
com.apple.proactive.AppPrediction.predictions	2	
com.apple.proactive.ActionPrediction.predictions	2	
com.apple.nfcd.session.reader.internal	2	
com.apple.runningboard.launchprocess	2	
com.apple.CompanionLink	2	
com.apple.private.healthkit.source.identities	2	
com.apple.springboard.remote-alert	2	
com.apple.fileprovider.extension-host	2	
com.apple.private.cloudkit.spi	2	
com.apple.private.homekit.shortcuts-automation-access	2	
com.apple.intents.uiextension.discovery	2	
com.apple.CoreTelephony.DataUsageInfo.allow	2	
com.apple.sos.trigger	2	
com.apple.private.donotdisturb.settings.request.client-identifiers	2	
com.apple.private.security.no-sandbox	2	
com.apple.nanobackup	2	
com.apple.CommCenter.Messages-send	2	
com.apple.ios.StoreKit.compose-review	2	
com.apple.companionappd.preferences.allow	2	
com.apple.telephony.cupolicy-rw-access	2	
com.apple.iBooks.BDSService.private	2	
com.apple.multitasking.unlimitedassertions	2	
com.apple.private.donotdisturb.state.request.client-identifiers	2	
com.apple.bulletinboard.settings	2	
com.apple.frontboard.shutdown	2	
com.apple.private.sharing.unlock-manager	2	
com.apple.keystore.lockassertion	2	
com.apple.timed	2	
com.apple.appstored.xpc.request	2	
com.apple.private.octagon	2	
com.apple.BTServer.programmaticPairing	2	
com.apple.developer.usernotifications.filtering	2	
com.apple.storekit.request-data	2	
com.apple.fileprovider.fetch-url	2	
com.apple.managedconfiguration.profiled.configurationprofiles	2	
com.apple.fileprovider.acl-read	2	
com.apple.private.librarian.container-proxy	2	
com.apple.PairingManager.Write	2	
com.apple.coreaudio.allow-opus-codec	2	
com.apple.PairingManager.RemovePeer	2	
com.apple.springboard.secureAppAssertion	2	
com.apple.private.aps-connection-initiate	2	
com.apple.security.exception.iokit-user-client-class	2	
com.apple.private.subscriptionservice.internal	2	
com.apple.private.MobileContainerManager.userManagedAssets	2	
com.apple.CallKit.call-directory	2	
com.apple.private.game-center.bypass-authentication	2	
com.apple.private.game-center	2	
com.apple.videoconference.allow-conferencing	2	
com.apple.backboard.displaybrightness	2	
com.apple.security.exception.process-info	2	
com.apple.voicetrigger.voicetriggerservice	2	
com.apple.springboard-ui.client	2	
com.apple.coreaudio.CanRecordWithoutSessionActivation	2	
com.apple.security.app-sandbox	2	
com.apple.security.personal-information.addressbook	2	
com.apple.proactive.PersonalizationPortrait.NamedEntity.readOnly	2	
com.apple.springboard.activateassistant	2	
com.apple.private.ClipServices	2	
com.apple.CoreRoutine.VehicleLocation	2	
com.apple.private.imcore.imdpersistence.database-access	2	
com.apple.geoservices.mapdata.manage-subscriptions	2	
com.apple.geoservices.setanydefault	2	
com.apple.locationd.activity	2	
com.apple.private.externalaccessory.showallaccessories	2	
com.apple.CoreRoutine.LocationOfInterest.Delete	2	
com.apple.private.cloudkit.serviceNameForContainerMap	2	
com.apple.maps.model-access	2	
com.apple.icloud.searchpartyd.pairingmanager	2	
com.apple.nearbyd.diagnostics	2	
com.apple.icloud.searchpartyd.beaconmanager	2	
com.apple.private.mobilesms.messages-recipient-vetting	2	
com.apple.developer.media-asset-download	1	
com.apple.developer.openURL-source	1	
com.apple.media.ringtones.read-write	1	
com.apple.developer.networking.multipath_extended	1	
com.apple.private.suggestions.internal	1	
com.apple.private.healthkit.os_version	1	
com.apple.private.tcc.system	1	
com.apple.private.healthkit.sync	1	
com.apple.itunesstored.lookup	1	
com.apple.shortcuts.health-access	1	
com.apple.private.security.storage.Health	1	
com.apple.private.healthkit.preferred_source	1	
com.apple.corespotlight.privateindex.uuid	1	
com.apple.private.health.pluginhost-allow	1	
LSCounterpartIdentifiers	1	
com.apple.spotlight.search	1	
com.apple.mobile.keybagd.UserManager.sync	1	
com.apple.private.CacheDelete	1	
com.apple.tailspin.dump-output	1	
com.apple.accessibility.api	1	
com.apple.mobilemail.ismobilemail	1	
com.apple.security.exception.mach-lookup.local-name	1	
com.apple.security.exception.mach-register.global-name	1	
com.apple.private.suggestions.mail	1	
com.apple.private.donotdisturb.behavior.resolution.client-identifiers	1	
com.apple.private.network.delegation-whitelist	1	
com.apple.private.MobileContainerManager.unrestrictedPersona	1	
com.apple.private.CallHistory.read	1	
com.apple.private.calendar	1	
com.apple.private.hid.client.event-dispatch	1	
com.apple.private.security.storage.Calendar	1	
com.apple.private.calendar.daemon.access-level.testing	1	
com.apple.developer.apple-cash-disbursements	1	
com.apple.springboard.hardware-button-service.home-hint-suppression	1	
com.apple.payment.payment-information-event-hosting	1	
com.apple.system.diagnostics.iokit-properties	1	
com.apple.springboard.allowIconVisibilityChanges	1	
com.apple.passkit.search.all-access	1	
com.apple.payment.passbook-secure-ui-service-access	1	
com.apple.tipsd.tips-app-access	1	
com.apple.private.tips.allow	1	
com.apple.private.assetsd.xpcstore_restricted.access	1	
com.apple.networking.vpn.configuration	1	
com.apple.private.remindd	1	
com.apple.private.photos.service.notification	1	
com.apple.private.photos.service.diagnostics	1	
com.apple.private.allow-external-storage	1	
com.apple.siri.synapse	1	
com.apple.private.accounts.bypassguestmoderestrictions	1	
com.apple.private.photos.service.debug	1	
com.apple.wlan.authentication	1	
com.apple.proactive.ProactiveSuggestionClientModel.xpc	1	
com.apple.ap.adservicesd.statusconditionclient.allow_read	1	
com.apple.ap.adservicesd.statusconditionservice	1	
com.apple.avfoundation.allow-shallow-depth-of-field-effect	1	
com.apple.handwritingd.allowBackgroundRecognition	1	
com.apple.private.ubiquity-additional-kvstore-identifiers - 2	1	
com.apple.private.security.storage.Notes	1	
com.apple.appstored.update-apps	1	
com.apple.private.healthkit.feature-availability.read	1	
com.apple.Pasteboard.background-access	1	
com.apple.private.shazamkit.allow-internal-audio-recording	1	
com.apple.private.security.storage.triald	1	
com.apple.private.mobiletimerd	1	
com.apple.private.shazamkit.allow-signature-generation	1	
com.apple.private.shazamkit.allow-remote-recognition	1	
com.apple.springboard.removeWebClipFromHomeScreen	1	
com.apple.springboard.addWebClipToHomeScreen	1	
com.apple.rootless.storage.proactivepredictions	1	
com.apple.developer.homekit.background-mode	1	
com.apple.rootless.storage.shortcuts	1	
com.apple.private.logging.stream	1	
com.apple.private.shazamkit.allow-external-audio-recording	1	
com.apple.runningboard.assertions.shortcuts	1	
com.apple.private.WebClips.read-write	1	
com.apple.shortcuts.ActionKit	1	
com.apple.avfoundation.allow-identifying-output-device-details	1	
com.apple.pairedsync.progressObserver	1	
com.apple.nano.nanoregistry.submitrtcpairingmetric	1	
com.apple.private.screentime-setup	1	
com.apple.schooltime.setschedule	1	
com.apple.locationd.natalimetry	1	
com.apple.contacts.private	1	
com.apple.private.allow-subridge	1	
com.apple.findmylocaldevice-playsounds	1	
com.apple.nanoregistry.BDE85C67-0FDD-4A95-A9B9-3CB5DD0C06A2	1	
com.apple.private.security.no-container	1	
com.apple.payment.configuration	1	
com.apple.private.security.storage.MobileDocuments	1	
com.apple.nanoregistry.termsacknowledgementregistry	1	
com.apple.utilitybelt-roothelper	1	
com.apple.private.healthkit.health-app-source	1	
com.apple.private.sysdiagnose	1	
com.apple.private.nanoregistry.pairunpairobliterate	1	
com.apple.corespotlight.privateindex.unsandboxed	1	
com.apple.dataaccess.dataaccessd.PersistentPush	1	
com.apple.schooltime.unlockhistory	1	
com.apple.passd.peer-payment	1	
com.apple.assertiond.app-state-monitor	1	
com.apple.coreidvd.gs.overwrite	1	
com.apple.private.corespotlight.bundleid	1	
com.apple.private.trust-ubiquity-kvstore-identifier	1	
com.apple.managedconfiguration.profiled.sharing-access-check-messages	1	
com.apple.private.security.storage.Messages	1	
CanInheritApplicationStateFromOtherProcesses	1	
com.apple.avfoundation.allow-capture-filter-rendering	1	
com.apple.private.barcodesupport.allowNotifications	1	
com.apple.springboard.setWantsLockButtonEvents	1	
com.apple.private.avfoundation.capture.deferred-photo-processor.allow	1	
com.apple.avfoundation.allow-still-image-capture-shutter-sound-manipulation	1	
com.apple.private.SafariServices.PasswordPicker.setRemoteAppProperties	1	
com.apple.mediaremote.allow	1	
com.apple.itunesstored.privacy-acknowledged	1	
com.apple.storekit.cloud-service-exempted-from-tcc-access	1	
com.apple.private.voicememod.client	1	
com.apple.locationd.place_inference	1	
com.apple.tvmlkit.private	1	
com.apple.private.launchservices.suppresscustomschemeprompt	1	
com.apple.watchlistd.post-bulletins	1	
com.apple.itunescloud.in-app-message-service	1	
com.apple.watchlist.private.playback-report	1	
com.apple.tv.api	1	
com.apple.bulletinboard.utilities	1	
com.apple.springboard.openurlswhenlocked	1	
com.apple.imagent.av	1	
com.apple.private.icfcallserver	1	
com.apple.CallHistory.sync.allow	1	
com.apple.private.CallHistory.read-write	1	
com.apple.private.imavcore.imavagent	1	
com.apple.AutoWake-write-access	1	
com.apple.private.ids.idquery-cache	1	
com.apple.DiagnosticsKit.reportmanager	1	
com.apple.DiagnosticsKit.extension	1	
com.apple.security.system-group-containers	1	
com.apple.ios.StoreKit.account-page	1	
com.apple.wallet.features.all-access	1	
com.apple.Diagnostics.allowCallbackURI	1	
com.apple.account.remotemanagement.fullaccess	1	
com.apple.Diagnostics.host-view-service	1	
com.apple.wifi.eap-nearby-device-setup-config-copy	1	
com.apple.private.ids.self-session	1	
com.apple.private.security.storage.HomeKit	1	
com.apple.coremedia.endpointremotecontrolsession.xpc	1	
com.apple.private.security.storage.Home	1	
com.apple.security.temporary-exception.files.home-relative-path.read-write	1	
com.apple.private.homekit.cameraclips	1	
com.apple.security.personal-information.location	1	
com.apple.PairingManager.HomeKit	1	
CARAppHidden	1	
com.apple.private.ids.session-private	1	
com.apple.mediasetupd.client	1	
com.apple.sharing.Session	1	
com.apple.security.temporary-exception.shared-preference.read-write	1	
com.apple.security.temporary-exception.files.absolute-path.read-only	1	
com.apple.private.ids.session	1	
com.apple.private.homekit.person-manager	1	
com.apple.runningboard.terminateprocess	1	
com.apple.private.corewifi.readonly	1	
com.apple.mobilemail	1	
com.apple.sharing.DeviceDiscovery	1	
com.apple.security.temporary-exception.files.home-relative-path.read-only	1	
com.apple.runningboard.hereditarygrantoriginator	1	
com.apple.security.files.user-selected.read-write	1	
com.apple.private.coreservices.alwaysEligibleEvenWhenInBackground	1	
com.apple.security.files.bookmarks.app-scope	1	
com.apple.proactive.PersonalizationPortrait.Event	1	
com.apple.security.temporary-exception.shared-preference.read-only	1	
com.apple.container2	1	
com.apple.private.podcasts.PodcastContentService.client	1	
com.apple.private.iosmac.unscaled	1	
com.apple.springboard.thermalWarningSuppression	1	
com.apple.voiceservices.tts.customvoice	1	
com.apple.maps.virtualgarage.vehicles	1	
com.apple.geoservices.shrinkdb	1	
com.apple.locationd.trusted_ARKit_hinter	1	
com.apple.springboard.stark.hideStatusBar	1	
com.apple.Maps.tripsharing.sharing	1	
com.apple.geoservices.shrinkdb.force	1	
com.apple.coreduetd.knowledge	1	
com.apple.geoservices.runtime_checker	1	
com.apple.geoservices.navd.clientIdentifier	1	
com.apple.CoreRoutine.Prediction	1	
com.apple.geoservices.restricted-tiles	1	
com.apple.navigation.spi	1	
com.apple.geoservices.utility	1	
com.apple.locationd.simulation	1	
com.apple.intents.intents-helper	1	
com.apple.geoservices.changetilegroup	1	
com.apple.Maps.mapspushd.geod	1	
com.apple.security.exception.shared-preference.read	1	
com.apple.developer.extension-host.widget-extension	1	
com.apple.private.security.storage.MobileIdentityService	1	
com.apple.MapsSupport.MapsAnnouncementsShownToUser	1	
com.apple.Maps.tripsharing.receiving	1	
com.apple.geoservice.deactivate-resource-filter	1	
com.apple.geoservices.experiments.set	1	
com.apple.MapsSupport.ParkedCarBulletin	1	
com.apple.geoservices.getmanifest	1	
com.apple.geoservices.navd.routehypothesis	1	
com.apple.duet.expertcenter.consumer	1	
com.apple.siri.activation.service	1	
com.apple.CoreRoutine.MapHint	1	
com.apple.geoservices.experiments.fetchall	1	
com.apple.private.appleaccount.icloud-app-switch-hidden	1	
com.apple.geoservices.cache_info	1	
com.apple.geoservices.preload	1	
com.apple.navd.timeball	1	
com.apple.geoservices.datasaver	1	
com.apple.maps.ipc-access	1	
com.apple.locationd.route_hint	1	
com.apple.managedconfiguration.feature-setting.allowFindMyCar	1	
com.apple.locationd.private_info	1	
com.apple.bannerkit.post	1	
com.apple.proactive.PersonalizationPortrait.Location.readOnly	1	
com.apple.geoservices.requestCounter	1	
com.apple.locationd.spectator	1	
com.apple.accounts.yelp.defaultaccess	1	
com.apple.geoservices.navd.recentLocations	1	
com.apple.idle-timer-services	1	
com.apple.locationd.vehicle_data	1	
com.apple.developer.associated-domains.mdm-managed	1	
com.apple.developer.pushkit.unrestricted-voip-regulatory	1	
com.apple.developer.healthkit.nikefuel-source	1	
com.apple.developer.weatherkit	1	
com.apple.developer.networking.manage-thread-network-credentials	1	
com.apple.itunesstored.kbsync	1	
com.apple.companionappd.profiles.allow	1	
com.apple.private.mis.beta-install	1	
com.apple.nearbyd.xpc	1	
com.apple.private.notificationcenter-system	1	
com.apple.icloud.FindMyDevice.FindMyDeviceHelperXPCService.access	1	
com.apple.security.exception.files.absolute	1	
com.apple.springboard.activateRemoteAlert	1	
com.apple.BTServer.allowRestrictedServices	1	
com.apple.icloud.searchpartyd.ownersession	1	
com.apple.cdp.statemachine	1	
com.apple.coremedia.allow-preview-encrypted-tone-playback	1	
com.apple.private.iad.opt-in-control	1	
com.apple.private.webbookmarks.settings	1	
com.apple.asl.access_as_root	1	
com.apple.powerui.smartcharging	1	
com.apple.private.MobileContainerManager.otherIdentifierLookup	1	
com.apple.icloud.searchpartyd.advertisementcache.access	1	
com.apple.securebackupd.access	1	
com.apple.CallKit.call-directory.extension-host	1	
com.apple.geoservices.mapLayerDataSizes	1	
com.apple.private.security.storage-exempt.heritable	1	
com.apple.BTServer.le	1	
com.apple.hid.manager.user-access-keyboard	1	
com.apple.managedconfiguration.teslad-access	1	
com.apple.private.InstallCoordination.allowed	1	
com.apple.localizationswitcher	1	
allow-softwareupdated	1	
com.apple.backboardd.pointerPreferences	1	
com.apple.filesystem-metadata-snapshotting	1	
com.apple.private.lockdown.finegrained-set	1	
com.apple.icloud.searchpartyd.finderstatemanager.access	1	
com.apple.symptom_analytics.configure	1	
com.apple.corecapture.manager-access	1	
com.apple.CoreRoutine.preferences	1	
com.apple.VideoSubscriberAccount.DeveloperService	1	
com.apple.private.donotdisturb.state.updates.client-identifiers	1	
com.apple.private.ClassKit.internal	1	
com.apple.private.cloudkit.protectiondata	1	
com.apple.private.exposure-notification	1	
com.apple.appstored.install-system-apps	1	
